mID,mName,mDescription,mGenre,mRating,mYear,mRuntime,mLanguage,mCountry,mDirector,mWriter,mActors,mPrice,mPoster
322,Tevye and His Seven Daughters,"Russia, 1905. Tevye is the only Jew living in the village of Antevka. He is very poor but things change when, as a token of gratitude for a service rendered, he is given a cow and some food...",Drama,NULL,1968,120,Hebrew,"Israel, West Germany",Menahem Golan,"Ladislas Fodor t,Menahem Golan,Haim Hefer","Shmuel Rodensky,Betty Segal,Ninet Dinar,Avital Paz",6.40,https://m.media-amazon.com/images/M/MV5BYzkyNThmMjctMjdhZC00MTI5LTlhZDctZTZmYTRlY2I3NDY1XkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg
323,Ricky Gervais Live 3: Fame,The third part of Ricky's themed live stand-up shows.,Comedy,Not Rated,2007,79,English,UK,Dominic Brigstocke,Ricky Gervais,"Ricky Gervais,Robin Ince",7.80,https://m.media-amazon.com/images/M/MV5BMTIyODg1ODM3NF5BMl5BanBnXkFtZTcwMjA1OTM0MQ@@._V1_SX300.jpg
324,We Still Kill the Old Way,"When retired East End villain Charlie Archer is murdered by a feral street gang, his brother Ritchie returns to London from Spain to investigate.","Action,Comedy,Crime,Drama,Thriller",NULL,2014,94,English,UK,Sacha Bennett,"Sacha Bennett,Dougie Brimson,Gary Lawrence,Colin Lomax,Rod Smith","Ian Ogilvy,Alison Doody,Christopher Ellison,Danny Hatchard",6.00,https://m.media-amazon.com/images/M/MV5BNzJlODlkOTQtMzRlNy00YTYwLTkzYjgtNjMxNDhkYzIyNGM4XkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_SX300.jpg
325,Raiders of the Lost Ark: The Adaptation,"A shot-for-shot remake of Indiana Jones and the Raiders of the Lost Ark (1981), started by three 12-year-olds and completed over a period of six years.","Action,Adventure,Thriller",NULL,1989,100,English,USA,Eric Zala,Lawrence Kasdan t,"Chris Strompolos,Angela Rodriguez,Michael Bales,Eric Zala",8.20,https://m.media-amazon.com/images/M/MV5BYzFkMzJhMTgtNDI3Yy00NDdjLThhNzItYjFiMmFkMzBjNDEwXkEyXkFqcGdeQXVyMzYzNzc1NjY@._V1_SX300.jpg
326,Full of It,A young kid is forced to live out the lies he told to become popular.,"Drama,Comedy",PG-13,2007,93,English,"USA, South Africa, Italy",Christian Charles,Jon Lucas t,"Ryan Pinkston,Kate Mara,Teri Polo,Craig Kilborn",5.60,https://m.media-amazon.com/images/M/MV5BMTYzMDU5MjIzMV5BMl5BanBnXkFtZTcwMjE5OTE0MQ@@._V1_SX300.jpg
327,Bubble Boy,Bubble Boy's been in a bubble all his life due to no immune system. A cute blonde girl befriends BB. Her boyfriend proposes and BB decides to travel across USA to Niagara Falls to stop the wedding.,"Adventure,Comedy,Romance,Sci-Fi",PG-13,2001,84,English,USA,Blair Hayes,"Cinco Paul,Ken Daurio","Jake Gyllenhaal,Swoosie Kurtz,Marley Shelton,Danny Trejo",5.60,https://m.media-amazon.com/images/M/MV5BMTUwYjczNmItYzczNS00MDQwLTkxNDctN2MwYzI5YzhmNGU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
328,Back To The Future II,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.","Adventure,Comedy,Sci-Fi",PG,1989,108,English,USA,Robert Zemeckis,Robert Zemeckis t,"Michael J. Fox,Christopher Lloyd,Lea Thompson,Thomas F. Wilson",7.80,NULL
329,Pekka ja PÃ¤tkÃ¤ Suezilla,NULL,Comedy,NULL,1958,74,Finnish,Finland,Armand Lohikoski,Armand Lohikoski,"Esa Pakarinen,Masa Niemi,Siiri Angerkoski,Assi Nortia",5.50,
330,Keeping Mum: Funnies,NULL,"Short,Comedy",NULL,2006,6,English,UK,NULL,NULL,"Rowan Atkinson,Tamsin Egerton,Emilia Fox,Vivienne Moore",7.80,NULL
331,Taste the Blood of Dracula,"Three distinguished English gentlemen accidentally resurrect Count Dracula, killing a disciple of his in process. The Count seeks to avenge his dead servant, by making the trio die in the hands of their own children.","Drama,Fantasy,Horror,Romance,Thriller",R,1970,91,"English, Latin",UK,Peter Sasdy,Anthony Hinds t,"Christopher Lee,Geoffrey Keen,Gwen Watford,Linda Hayden",6.40,https://m.media-amazon.com/images/M/MV5BY2UwNDA1NDUtZThiZi00YjJlLTk1NjAtM2FmN2YxZjQ3OGMzXkEyXkFqcGdeQXVyMjIyNjE2NA@@._V1_SX300.jpg
332,Shane's World 40: Scavenger Hunt 4 - Seattle,NULL,Adult,NULL,2007,NULL,NULL,NULL,NULL,NULL,"Paizley Adams,Courtney James,Kacey Jordan,Gianna Michaels",2.20,NULL
333,28 Hotel Rooms,"A novelist and an accountant meet while they are traveling for work, and though they both are in relationships, their one-night stand could become something more.","Drama,Romance",Not Rated,2012,82,English,USA,Matt Ross,Matt Ross,"Chris Messina,Marin Ireland,Robert Deamer,Anne H. Wilson",5.80,https://m.media-amazon.com/images/M/MV5BMTUwOTM5NTMwMF5BMl5BanBnXkFtZTcwNjU5ODIzNw@@._V1_SX300.jpg
334,You Don't Mess with the Zohan,An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.,Comedy,PG-13,2008,113,"English, Hebrew",USA,Dennis Dugan,"Adam Sandler,Robert Smigel,Judd Apatow","Adam Sandler,John Turturro,Emmanuelle Chriqui,Nick Swardson",5.50,https://m.media-amazon.com/images/M/MV5BMzE2MzEzNDc5M15BMl5BanBnXkFtZTcwMzYxOTA3MQ@@._V1_SX300.jpg
335,Fathom Premieres 6 Below: Miracle on the Mountain,"An adrenaline seeking snowboarder gets lost in a massive winter storm in the back country of the High Sierras where he is pushed to the limits of human endurance and forced to battle his own personal demons as he fights for survival....""","Adventure,Biography,Drama,Sport,Thriller",PG-13,2017,98,English,USA,Scott Waugh,"Madison Turner,Eric LeMarque t","Josh Hartnett,Mira Sorvino,Sarah Dumont,Kale Culley",5.70,https://m.media-amazon.com/images/M/MV5BMTUwMzAxNTU2NV5BMl5BanBnXkFtZTgwOTU5MzUyMzI@._V1_SX300.jpg
336,Love Happens Again,NULL,Drama,NULL,2020,NULL,English,USA,Tee Tunnell Harris,Tee Tunnell Harris,"Sterling Calhoun,LaVeta Cameron,Jordon Campbell,Calvin Cannon Jr.",2.20,NULL
337,Bitter Sweetheart,"Lina, a girl in her early teens discovers herself and the people around her.","Comedy,Drama",NULL,2007,90,Swedish,Sweden,Hella Joof,"Erik Ahrnbom,Emma Hamberg","Mylaine Hedreul,Rickard Roxvall,Viktor Axelsson,Alice Kastrup-MÃ¶ller",5.30,https://m.media-amazon.com/images/M/MV5BMWNmOWJjNGItODEyNi00ODE2LThjMTktNDg1ZTRkNDkxNWZiXkEyXkFqcGdeQXVyMTQzMjU1NjE@._V1_SX300.jpg
338,8 Heads in a Duffel Bag,"A mob bagman finds that his luggage, containing the proof of his gang's latest hit, has been switched.","Adventure,Comedy,Crime,Mystery",R,1997,95,"English, Spanish","USA, UK",Tom Schulman,Tom Schulman,"Joe Pesci,Andy Comeau,Kristy Swanson,George Hamilton",5.40,https://m.media-amazon.com/images/M/MV5BMWQyOTZhYmUtZTE3NC00MTg5LWE3YzAtNjI0YmFlOWYwZGM1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
339,My Best Girl,"A department store's stock girl falls in love with a co-worker, the son of the store's manager; the feeling is mutual though he is engaged to a debutante and focusing on becoming successful without the influence of his father.","Comedy,Romance",Unrated,1927,80,"None, English",USA,Sam Taylor,Kathleen Norris t,"Mary Pickford,Charles 'Buddy' Rogers,Sunshine Hart,Lucien Littlefield",7.40,https://m.media-amazon.com/images/M/MV5BMjI1NzI2OTY3MV5BMl5BanBnXkFtZTgwODk1MjgwMjE@._V1_SX300.jpg
340,Wishmaster 2: Evil Never Dies,"The evil Djinn is awakened once more, and must collect 1001 souls to begin the Apocalypse.","Fantasy,Horror",R,1999,96,"English, Russian",USA,Jack Sholder,"Peter Atkins t,Jack Sholder","Holly Fields,Chris Weber,Al Foster,Andrew Divoff",5.10,https://m.media-amazon.com/images/M/MV5BZDEwZmI5YjYtZjJhYy00ZDkzLWIyOWMtOTVmNDRiMzI2ZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
341,Five on the Black Hand Side,"In contrast to most of the violence-laden ""blaxploitation"" films of the period, this low-budget effort eschews exploitation for humanity and domestic drama. Leonard Jackson plays a barber ...",Comedy,PG,1973,96,English,USA,Oscar Williams,Charlie L. Russell t,"Godfrey Cambridge,Clarice Taylor,Leonard Jackson,Virginia Capers",6.40,https://m.media-amazon.com/images/M/MV5BNGI3NzVkMzktYWFhZS00ZGQwLTk2MDEtM2ExOTMzYWNlZjNlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
342,Poppy Shakespeare,"N has been a day patient at north London's Dorothy Fish day hospital for 13 years - her ambition is never to leave. Then she meets glamourous new patient Poppy Shakespeare, an ad agency receptionist convinced she's not mad.",Drama,NULL,2008,90,English,UK,Benjamin Ross,"Sarah Williams,Clare Allan t","Anna Maxwell Martin,Tessa Peake-Jones,Claire Benedict,Kolade Agboke",7.10,https://m.media-amazon.com/images/M/MV5BMjMxODI2MjY3NF5BMl5BanBnXkFtZTgwMjc1MTI1MjE@._V1_SX300.jpg
343,Daylight Robbery,"Alex masterminds an ambitious plan to steal millions of untraceable cash that is stacked in the underground vaults of The London Exchange Bank, waiting for its last journey, Incineration. ...","Crime,Drama,Thriller",NULL,2008,99,English,UK,Paris Leonti,Paris Leonti,"Xavier Anderson,Brodie Bass,Geoff Bell,Vas Blackwood",6.00,https://m.media-amazon.com/images/M/MV5BMjAyMzk4NDgwN15BMl5BanBnXkFtZTcwMDg5NDg3Mw@@._V1_SX300.jpg
344,She's All That,A high school jock makes a bet that he can turn an unattractive girl into the school's prom queen.,"Comedy,Romance",PG-13,1999,95,English,USA,Robert Iscove,R. Lee Fleming Jr.,"Freddie Prinze Jr.,Rachael Leigh Cook,Matthew Lillard,Paul Walker",5.90,https://m.media-amazon.com/images/M/MV5BY2Y0N2YyOTQtMGNiYy00ZDViLTgxYmItODkxNzlkMWVjNTFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
345,The Union of Sinners and Saints: Independence Day,NULL,"Short,Music",NULL,2016,NULL,English,USA,Mil Cannon,NULL,"Jason Fowler,John Schlitt",4.40,https://m.media-amazon.com/images/M/MV5BMTk3ZjYyNGEtZDNlOS00OWExLTlmMDgtZDlkNWNmMjcwZjNjXkEyXkFqcGdeQXVyMjgzMjMxNjQ@._V1_SX300.jpg
346,Blood Ties: The Life and Work of Sally Mann,"An intimate portrait of the photographer and the complex, enigmatic pictures she takes of her children","Documentary,Short",Not Rated,1994,30,English,USA,"Steven Cantor,Peter Spirer",NULL,Sally Mann,7.70,https://m.media-amazon.com/images/M/MV5BMTExMDYyOTQ5MzZeQTJeQWpwZ15BbWU3MDQ5NTQzNzE@._V1_SX300.jpg
347,Boogie-Doodle,"From the opening credits: ""An experimental film (...) made without camera, by drawing directly upon 35 mm film with an ordinary pen and ink."" Various abstract shapes interact and transform into one another.","Animation,Short",NULL,1941,4,None,Canada,Norman McLaren,NULL,NULL,6.70,https://m.media-amazon.com/images/M/MV5BZWYxMmViMWQtMTAzNC00ZDU2LTk1ZDEtOWRmMzhiNzU4OTU5XkEyXkFqcGdeQXVyMDM1MzIyMQ@@._V1_SX300.jpg
348,Year of the Dog,A secretary's life changes in unexpected ways after her dog dies.,"Comedy,Drama",PG-13,2007,97,English,USA,Mike White,Mike White,"Molly Shannon,Laura Dern,Regina King,Tom McCarthy",6.00,https://m.media-amazon.com/images/M/MV5BMTgzOTcxMzg5OV5BMl5BanBnXkFtZTcwMzkzOTM0MQ@@._V1_SX300.jpg
349,Dr. Jekyll and Mr. Hyde: The Game - The Movie,"The most dreaded NES game has come to life as a major motion picture. See Jekyll fight off an angry mob of villagers, animals, birds, and insects as he slowly walks to the church where his ...","Short,Comedy",NULL,2015,4,English,USA,James Rolfe,James Rolfe,"Bradley Kristian Wrenn,Jenna Horton,Tara Demmy,Kevin Finn",8.10,https://m.media-amazon.com/images/M/MV5BZWJhNThjOWItYWNlNi00OGY2LTljODQtNTlmN2NmODAxM2NjXkEyXkFqcGdeQXVyMTQzMjU1NjE@._V1_SX300.jpg
350,The Periwig-Maker,"Europe; the plague years. A wigmaker, locked in his shop, observes the events and writes about them in his journal. Mostly, we see shrouded bodies, and a young girl who lives in the tavern ...","Animation,Short,Drama",NULL,1999,15,English,Germany,Steffen SchÃ¤ffler,"Annette SchÃ¤ffler,Steffen SchÃ¤ffler,Daniel Defoe t","Kenneth Branagh,Alice Fairhall,Roger Law,Daren C. Evans",7.10,https://m.media-amazon.com/images/M/MV5BMjhiOWMzZjEtYmRiNy00YmI0LTk2MjctMjhkODkzOTBhN2FmXkEyXkFqcGdeQXVyMTAyMDEyMTk2._V1_SX300.jpg
351,Wu Yen,A gifted female warrior is destined to marry the emperor and bring prosperity to the dynasty.,"Comedy,Fantasy",NULL,2001,123,Cantonese,Hong Kong,"Johnnie To,Ka-Fai Wai","Ka-Fai Wai,Nai-Hoi Yau,Ben Wong","Sammi Cheng,Anita Mui,Raymond Ho-Yin Wong,Cecilia Cheung",6.20,https://m.media-amazon.com/images/M/MV5BZmQ4ZDQyZmItZTVmNS00YmU1LTk3ZDEtNGRjOGQzYTg1YTE3XkEyXkFqcGdeQXVyMzc1NTUwNjM@._V1_SX300.jpg
352,Detention of the Dead,A group of oddball high school students find themselves trapped in detention with their classmates having turned into a horde of Zombies.,"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",Not Rated,2012,87,English,USA,Alex Craig Mann,"Alex Craig Mann,Rob Rinow t","Jacob Zachar,Alexa Nikolas,Christa B. Allen,Jayson Blair",4.50,https://m.media-amazon.com/images/M/MV5BMjE0Mzk2ZGUtZTE5YS00NDNiLWJhM2MtNjVkYTJjNTQ0YWQ2XkEyXkFqcGdeQXVyODEwMTc2ODQ@._V1_SX300.jpg
353,Heavenly Creatures,"Two teenage girls share a unique bond; their parents, concerned that the friendship is too intense, separate them, and the girls take revenge.","Biography,Crime,Drama,Thriller",R,1994,99,"English, French","New Zealand, Germany",Peter Jackson,Fran Walsh t,"Melanie Lynskey,Kate Winslet,Sarah Peirse,Diana Kent",7.30,https://m.media-amazon.com/images/M/MV5BZjUwNGIwNDctZmQ1ZC00YTEzLWI3MzQtZGMyODlmZGU4ZDdhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
354,Last Train Home,"A couple embarks on a journey home for Chinese new year along with 130 million other migrant workers, to reunite with their children and struggle for a future. Their unseen story plays out as China soars towards being a world superpower.","Documentary,Drama",Not Rated,2009,85,Mandarin,"Canada, China, UK",Lixin Fan,Daniel Cross t,"Changhua Zhang,Suqin Chen,Qin Zhang,Yang Zhang",7.70,https://m.media-amazon.com/images/M/MV5BMjA0MzQ1ODI0Ml5BMl5BanBnXkFtZTcwNDgyOTE2Mw@@._V1_SX300.jpg
355,Guarding Tess,"A former U.S. First Lady wants a particular Secret Service agent to head her bodyguard detail, even though he can't stand her.","Comedy,Drama",PG-13,1994,96,English,USA,Hugh Wilson,"Hugh Wilson,PJ Torokvei","Shirley MacLaine,Nicolas Cage,Austin Pendleton,Edward Albert",6.20,https://m.media-amazon.com/images/M/MV5BNzFkM2RiNWQtOWQxNy00ZWNmLWIyZTktNmJjZmY1ZTliZjU1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
356,Ten Seconds to Hell,"After 1945, six German ex-soldiers are hired to defuse unexploded Allied bombs in the ruins of Berlin.","Action,Drama,Romance,War",Approved,1959,93,English,"UK, USA",Robert Aldrich,Robert Aldrich t,"Jack Palance,Jeff Chandler,Martine Carol,Robert Cornthwaite",6.50,https://m.media-amazon.com/images/M/MV5BNjYxNzQ0OTc0M15BMl5BanBnXkFtZTcwODcyMTM4NA@@._V1_SX300.jpg
357,Charlie Chan's Courage,Charlie is hired to deliver a pearl necklace to a millionaire at his ranch. When murder intervenes he disguises himself as a Chinese servant and begins sleuthing.,Mystery,APPROVED,1934,70,English,USA,"Eugene Forde,George Hadden","Earl Derr Biggers t,Seton I. Miller","Warner Oland,Drue Leyton,Donald Woods,Paul Harvey",8.20,NULL
358,Pelle SvanslÃ¶s och den stora skattjakten,"Pelle and Maja have moved together. But Maja's mother dislikes her daughter's tailless company, and tries to get Maja to move home again.",Family,NULL,2000,96,Swedish,Sweden,Mikael Ekman,"GÃ¶sta Knutsson t,Pernilla Oljelund","BjÃ¶rn Kjellman,Cecilia Ljung,Christer Fant,Leif AndrÃ©e",4.90,
359,Top Secret!,Parody of WWII spy movies in which an American rock and roll singer becomes involved in a Resistance plot to rescue a scientist imprisoned in East Germany.,"Comedy,Music",PG,1984,90,"English, German, Yiddish","UK, USA","Jim Abrahams,David Zucker,Jerry Zucker","Jim Abrahams,David Zucker,Jerry Zucker,Martyn Burke","Val Kilmer,Lucy Gutteridge,Peter Cushing,Jeremy Kemp",7.20,https://m.media-amazon.com/images/M/MV5BMmNhMTZlMmItMDRkYy00YjBlLThiZTEtZDQ1ZjNmYWM4NWVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
360,Little Devils: The Birth,"The Little Devils are mini-masters of mayhem, created by an evil scientist. Dr. Lionel discovers an ancient mudpot from Hell, returning home with samples of it. Unfortunately, he has been ...","Comedy,Horror",NULL,1993,100,English,Canada,George Pavlou,Elliott Stein,"Russ Tamblyn,Marc Price,Nancy Valen,Wayne McNamara",3.10,https://m.media-amazon.com/images/M/MV5BNWE0MGQyMzAtZWRkMS00ZmE5LWJkNTItMDUxNjFjOWVhZDIyXkEyXkFqcGdeQXVyNjM2NTM3ODA@._V1_SX300.jpg
361,Captain Alatriste: The Spanish Musketeer,"Viggo Mortensen plays the Spanish soldier-turned-mercenary Captain Alatriste, a heroic figure from the country's 17th century imperial wars.","Action,Adventure,Drama,History,Romance,Thriller,War",NULL,2006,145,"Spanish, Flemish, Latin, Portuguese, Dutch",Spain,AgustÃ­n DÃ­az Yanes,Arturo PÃ©rez-Reverte t,"Viggo Mortensen,Elena Anaya,Unax Ugalde,Eduard FernÃ¡ndez",6.10,https://m.media-amazon.com/images/M/MV5BMTM1MTc1MDQ2NV5BMl5BanBnXkFtZTcwMTQ3OTI2MQ@@._V1_SX300.jpg
362,Legalese,"When a sexy actress is charged with murder, a charming celebrity lawyer uses trickery to defend her against the press as well as the prosecution.","Crime,Drama,Romance",R,1998,92,English,USA,Glenn Jordan,Billy Ray,"James Garner,Gina Gershon,Mary-Louise Parker,Edward Kerr",6.10,https://m.media-amazon.com/images/M/MV5BYzUwOWJhMmItNmIwYy00NGI4LWIwZjEtMWVlMDI3YWYxYWJlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg
363,K-19: The Widowmaker,"When Russia's first nuclear submarine malfunctions on its maiden voyage, the crew must race to save the ship and prevent a nuclear disaster.","Drama,History,Thriller,War",PG-13,2002,138,"English, Russian","UK, Germany, Canada, USA",Kathryn Bigelow,Louis Nowra t,"Sam Spruell,Peter Stebbings,Christian Camargo,Roman Podhora",6.70,https://m.media-amazon.com/images/M/MV5BMWY2YjIwNDAtYjQwOC00YjY5LTk2MDUtMjY4ZDdiMjdlNjIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
364,Agatha and the Limitless Readings,A dialogue-driven drama about a woman and her brother who meet at a deserted seaside hotel to deal with their passionate incestuous feelings for each other and reminisce about their happy childhood.,Drama,NULL,1981,90,French,France,Marguerite Duras,Marguerite Duras,"Bulle Ogier,Yann AndrÃ©a,Marguerite Duras",6.90,https://m.media-amazon.com/images/M/MV5BNTk0YzliMWEtMDA2Yi00MDc1LTlkZDItYmYxZjgzYTEwOThlXkEyXkFqcGdeQXVyMTM3MzUwOQ@@._V1_SX300.jpg
365,Clownhouse,"Just before Halloween, three young brothers alone in a big house are menaced by three escaped mental patients who have murdered some traveling circus clowns and taken their identities.",Horror,R,1989,81,English,USA,Victor Salva,Victor Salva,"Nathan Forrest Winters,Brian McHugh,Sam Rockwell,Michael Jerome West",5.60,https://m.media-amazon.com/images/M/MV5BNjNjMjk5NTUtYmRhOC00MzVjLThjOWItMjlkOTNiNjhiOTE5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
366,Insidious: Chapter 2,"The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily.","Horror,Mystery,Thriller",PG-13,2013,106,English,"USA, Canada",James Wan,Leigh Whannell t,"Patrick Wilson,Rose Byrne,Ty Simpkins,Lin Shaye",6.60,https://m.media-amazon.com/images/M/MV5BMTg0OTA5ODIxNF5BMl5BanBnXkFtZTcwNTUzNDg4OQ@@._V1_SX300.jpg
367,They Came Together,"Molly owns a quaint little sweet shop. Joel works for a gigantic candy company threatening to shut her down. How they meet, fall in love, break up and get back together is hilariously recounted in this rom-com spoof.","Comedy,Romance",R,2014,83,English,USA,David Wain,"Michael Showalter,David Wain","Paul Rudd,Amy Poehler,Bill Hader,Ellie Kemper",5.60,https://m.media-amazon.com/images/M/MV5BMTkzNzA2Nzc1Ml5BMl5BanBnXkFtZTgwNzcwNzk3MTE@._V1_SX300.jpg
368,Monsieur Lazhar,"At a MontrÃ©al public grade school, an Algerian immigrant is hired to replace a popular teacher who committed suicide in her classroom. While helping his students deal with their grief, his own recent loss is revealed.","Comedy,Drama",PG-13,2011,95,"French, English, Arabic",Canada,Philippe Falardeau,Philippe Falardeau t,"Mohamed Fellag,Sophie NÃ©lisse,Ãmilien NÃ©ron,Marie-Ãve Beauregard",7.50,https://m.media-amazon.com/images/M/MV5BNjM0NTYyNTkwNF5BMl5BanBnXkFtZTcwMzQwOTUzNw@@._V1_SX300.jpg
369,Live Nude Girls Unite!,"Documentary look at the 1996-97 effort of the dancers and support staff at a San Francisco peep show, The Lusty Lady, to unionize. Angered by arbitrary and race-based wage policies, ...",Documentary,Not Rated,2000,75,English,USA,"Vicky Funari,Julia Query","Vicky Funari,Julia Query","Julia Query,Jane,Siobhan Brooks,Kristina",6.30,https://m.media-amazon.com/images/M/MV5BMjE0Njk3NTg4M15BMl5BanBnXkFtZTcwMjcyNTMyMQ@@._V1_SX300.jpg
370,Destry Rides Again,"Deputy sheriff Destry tames the town of Bottle Neck, including saloon singer Frenchy.","Comedy,Western",Approved,1939,95,"English, Russian",USA,George Marshall,Felix Jackson t,"Marlene Dietrich,James Stewart,Mischa Auer,Charles Winninger",7.70,https://m.media-amazon.com/images/M/MV5BMjlhOTRlMTctMmNkYy00NDFiLTg5NzItZjcyMTA5ZDYyMDBlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
371,Doomwatch: Winter Angel,University lecturer Neil Tannahill is drawn into a sinister conspiracy involving secretly-stored Soviet nuclear waste at a remote British nuclear facility after receiving an enigmatic note ...,"Drama,Sci-Fi,Thriller",NULL,1999,100,English,UK,Roy Battersby,Gerry Davis t,"Trevor Eve,Amanda Ooms,Philip Stone,Dallas Campbell",5.50,https://m.media-amazon.com/images/M/MV5BMmExNGY3NjgtZTViYi00Yzg3LTljNmItMmU5YzFiZTY1ZDE0XkEyXkFqcGdeQXVyMTk0MjQ3Nzk@._V1_SX300.jpg
372,To Be Takei,"A look at the many roles played by eclectic actor/activist George Takei, whose wit, humor and grace have helped him to become an internationally beloved figure and Internet phenomenon with 7-million Facebook fans and counting.","Documentary,Biography",Not Rated,2014,94,English,USA,Jennifer M. Kroot,NULL,"George Takei,Brad Takei,Walter Koenig,William Shatner",6.80,https://m.media-amazon.com/images/M/MV5BMjI2NzQxNDEzMF5BMl5BanBnXkFtZTgwMTg1MTU0MjE@._V1_SX300.jpg
373,Steak (R)evolution,"Gourmet road trip looking for the best steak in the world. Breeders, farmers, butchers, cooks, historians and business men all around the world (France, Italy, Spain, Sweden, Belgium, UK,...",Documentary,Not Rated,2014,135,"French, English","France, UK, USA, Sweden, Spain, Japan, Italy, Canada, Brazil, Belgium, Argentina, Germany",Franck RibiÃ¨re,"VÃ©rane FrÃ©diani,Franck RibiÃ¨re","Jacques Abbatucci,Mario de Beni Arrigoni,Marcos Bassi,Joe Beef",6.90,https://m.media-amazon.com/images/M/MV5BMjA4MTk0ODkzMV5BMl5BanBnXkFtZTgwMjU4NzExNzE@._V1_SX300.jpg
374,John Doe: Vigilante,An ordinary man fights violence the only way he knows how - by killing one criminal at a time. Hero or villain? Justice or vengeance? You decide.,"Crime,Thriller",R,2014,93,English,Australia,Kelly Dolen,Stephen M. Coates t,"Jamie Bamber,Lachy Hulme,Gary Abrahams,Sam Parsonson",6.60,https://m.media-amazon.com/images/M/MV5BOTg2NjAxNDc3NV5BMl5BanBnXkFtZTgwNzg5MDAyMTE@._V1_SX300.jpg
375,Phantom Lady,A devoted secretary risks her life to try to find the elusive woman who may prove her boss didn't murder his selfish wife.,"Crime,Drama,Film-Noir,Mystery",Not Rated,1944,87,"English, Portuguese",USA,Robert Siodmak,Bernard C. Schoenfeld t,"Franchot Tone,Ella Raines,Alan Curtis,Aurora Miranda",7.20,https://m.media-amazon.com/images/M/MV5BMzkyMDM1ODc4OF5BMl5BanBnXkFtZTgwNTEzODc5MTE@._V1_SX300.jpg
376,Mister Magoo's Christmas Carol,"This musical adaptation of the classic tale by Charles Dickens stars Magoo as the cold-hearted old miser, Ebenezer Scrooge.","Animation,Comedy,Drama,Family,Fantasy,Musical",Approved,1962,53,English,USA,Abe Levitow,Charles Dickens t,"Jim Backus,Morey Amsterdam,Jack Cassidy,Royal Dano",7.60,https://m.media-amazon.com/images/M/MV5BNWZiN2Y2N2ItNDY0MC00ZTRiLTk1NjMtMDM3ZDE4M2YxZjEwXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg
377,The Texas Chainsaw Massacre: The Beginning,"Before being sent to serve in Vietnam, two brothers and their girlfriends take one last road trip, but when they get into an accident, a terrifying experience will take them to a secluded house of horrors, with a chainsaw-wielding killer.","Horror,Thriller",R,2006,91,English,USA,Jonathan Liebesman,Sheldon Turner t,"Jordana Brewster,Taylor Handley,Diora Baird,Matt Bomer",5.80,https://m.media-amazon.com/images/M/MV5BMTIwMzAxNDcyMl5BMl5BanBnXkFtZTYwMjMwMDc2._V1_SX300.jpg
378,Plunkett & Macleane,"Two robbers are persecuted by the law, whose servants are not much better and even worse.","Action,Adventure,Comedy,Crime,Drama",R,1999,99,English,UK,Jake Scott,Selwyn Roberts t,"Jonny Lee Miller,Iain Robertson,Robert Carlyle,Ken Stott",6.40,https://m.media-amazon.com/images/M/MV5BMTY2NDU2ODY2NV5BMl5BanBnXkFtZTcwNDEyNTIyMQ@@._V1_SX300.jpg
379,Here Comes the Groom,"Foreign correspondent Pete Garvey has 5 days to win back his former fiancÃ©e, or he'll lose the orphans he adopted.","Comedy,Musical,Romance",Approved,1951,113,"English, French",USA,Frank Capra,"Robert Riskin t,Virginia Van Upp,Liam O'Brien,Myles Connolly","Bing Crosby,Jane Wyman,Alexis Smith,Franchot Tone",6.50,https://m.media-amazon.com/images/M/MV5BYzgwMGY1YTMtOGZkZi00ZTAxLThkZDEtOGIyMTI4MDVhNTgxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
